Empresa Destinataria (ED),Entidade Veiculo (EV),Investimento Total na ED,Financiamento FINOVA
"Tecnivisa, Lda","FuturCriterio SGPS, SA","154,000.00","100,100.00"
"Youngstories, S.A.","Shilling Capital Partners, Lda.","70,000.00","45,500.00"
"Energy Money, Lda","Viva Edge Power SGPS, SA","274,231.00","178,250.00"
"Bundlr, S.A.","Seed Capital SGPS, SA","35,000.00","22,750.00"
Nozomi- Criminal Investigation Solutions Lda,"Red Star, SA","50,500.00","32,825.00"
"Connect Energy - Negocios De Energia E Telecomunicacoes, Lda","FuturCriterio SGPS, SA","190,400.00","123,760.00"
"Ecofoot, S.A.","Tex Risco SGPS, SA","142,857.00","92,857.00"
"Fairway, Medical Tourism Portugal, S.A.","Eggnest SGPS, SA","39,999.00","25,999.35"
Vintage Experiences S.A.,"Go Big or Go Home, SA","64,744.00","42,083.45"
Nozomi- Criminal Investigation Solutions Lda,"Red Star, SA","50,500.00","32,825.00"
"Livefabric - Inovacao Textil, Lda","Tex Risco SGPS, SA","73,145.71","47,544.71"
"Vivapower-Consulting, Lda","QA - Investimentos SGPS, S.A ( Ex Sequoia - Retalho E Indústria Alimentar Investimentos, Sgps, S.A.)","25,000.00","16,250.00"
"Rent - Renewable Energy New Technologies, Unipessoal Lda","QA - Investimentos SGPS, S.A ( Ex Sequoia - Retalho E Indústria Alimentar Investimentos, Sgps, S.A.)","516,900.00","335,985.00"
"Equigerminal, S.A.","A2B SGPS, SA","44,069.00","28,644.85"
"Tuizzi, S.A.","IA - FCI TICE SGPS, SA","43,477.98","28,260.69"
"Biomad Plus - Energias Renovaveis, Lda","Smart Ventures Business Angels SGPS, SA","150,000.00","95,280.00"
"Faber Ventures, S.A.","Shilling Capital Partners, Lda.","216,000.00","140,400.00"
"Commop, S.A.","BrainCapital SGPS, SA","300,000.00","195,000.00"
"Ribapower - Negocios E Comercio De Telecomunicacoes E Energia, Lda","FuturCriterio SGPS, SA","189,769.00","122,850.00"
Sms - Solucoes De Mobilidade Sustentavel Lda,"Smart Ventures Business Angels SGPS, SA","20,000.00","12,704.00"
"Digitalwks - Producoes Web E Digitais, S.A.","BrainCapital SGPS, SA","150,000.00","97,500.00"
"5Ensesinfood, S.A.","BrainInvest SGPS, Lda","70,000.00","45,500.00"
Vintage Experiences S.A.,"Fourwings Fund SGPS, SA","32,372.00","20,232.50"
Equacao Positiva - Lda,"A2B SGPS, SA","49,500.00","32,175.00"
"5Ensesinfood, S.A.","IA - FCI Ciencias da Vida SGPS, SA","140,000.00","91,000.00"
Besttables - Marketing E Servicos De Restauracao S.A.,"Shilling Capital Partners, Lda.","90,000.00","58,500.00"
"Fairway, Medical Tourism Portugal, S.A.","Busy Angels SCR, SA","40,000.00","26,000.00"
"Timeless Landscape, Lda","Embrace II, Lda","570,000.00","370,500.00"
"Keitwoops - Sociedade De Texteis, Vestuario E Acessorios, Lda","Fourwings Fund SGPS, SA","60,000.00","37,500.00"
Just.Ueb - Net Solutions S.A.,"IA - FCI TICE SGPS, SA","30,000.00","19,500.00"
"Livefabric - Inovacao Textil, Lda","Tex Risco SGPS, SA","49,021.00","31,863.65"
"Ecofoot, S.A.","Tex Risco SGPS, SA","91,429.00","59,429.00"
Bsim2 - Biomolecular Simulations Lda,"A2B SGPS, SA","60,000.00","39,000.00"
"Ezimut.Com Ii - International Services, S.A.","BrainInvest SGPS, Lda","250,000.00","162,500.00"
Celebre Memorias Lda,"Red Star, SA","25,380.00","16,497.00"
"Feel-I.P.A-Improving Peoples'S Acessibility, Lda","BrainInvest SGPS, Lda","145,000.00","94,250.00"
"Cloud9Im, Lda","Brains2Market Participacoes SGPS, Lda","75,000.00","48,750.00"
Earboxwear S.A.,"IA - FCI Industrias Criativas, SA","130,000.00","84,500.00"
"Laserleap Technologies,S.A.","Busy Angels SCR, SA","130,000.00","84,500.00"
"Lymphact - Lymphocyte Activation Technologies, S.A.","Busy Angels SCR, SA","36,000.00","23,400.01"
"Latitude N, Lda","Brains2Market Participacoes SGPS, Lda","46,666.66","30,333.33"
"Ezimut.Com Ii - International Services, S.A.","Green Swan SGPS, SA","250,000.00","162,500.00"
"Livefabric - Inovacao Textil, Lda","Tex Risco SGPS, SA","49,021.00","31,863.65"
"Fairway, Medical Tourism Portugal, S.A.","Eggnest SGPS, SA","50,000.00","32,500.00"
"Function, Lda","Seed Capital SGPS, SA","150,000.00","97,500.00"
Webankor Lda,"PNV Capital SGPS, SA","50,000.00","32,500.00"
Orizonvision Lda,"Smart Equity SGPS, SA","125,714.28","81,714.28"
Freedomgrow - Sistemas De Informacao S.A.,"Indextalent, Lda","51,688.00","33,597.20"
"Maps With Life, S.A.","PNV Capital SGPS, SA","60,000.00","39,000.00"
"Global Inpakt, SA","PNV Capital SGPS, SA","39,773.00","25,852.45"
"Lusoeduc - Informacao E Servicos, S.A.","Busy Angels SCR, SA","82,620.00","53,703.00"
"Fairway, Medical Tourism Portugal, S.A.","Busy Angels SCR, SA","50,000.00","32,500.00"
"Lymphact - Lymphocyte Activation Technologies, S.A.","Busy Angels SCR, SA","36,001.00","23,400.65"
"Epc - Energy Performance Certification, Lda","Eggnest SGPS, SA","1,200.00",780.00
"Tuizzi, S.A.","IA - FCI TICE SGPS, SA","46,852.01","30,453.81"
"Livefabric - Inovacao Textil, Lda","Tex Risco SGPS, SA","49,021.00","31,863.65"
"Ecofoot, S.A.","Tex Risco SGPS, SA","142,857.00","92,857.00"
"Biomad Plus - Energias Renovaveis, Lda","Creative Wings SGPS, SA","220,000.00","143,000.00"
"Livefabric - Inovacao Textil, Lda","Tex Risco SGPS, SA","49,021.29","31,863.84"
"Faber Ventures, S.A.","Busy Angels SCR, SA","60,630.75","39,409.99"
"Faber Ventures, S.A.","PNV Capital SGPS, SA","129,750.00","84,337.50"
"Faber Ventures, S.A.","Tagus Innovation for Growth SGPS, SA","75,000.00","48,750.00"
