Empresa Destinataria (ED),FCR Revitalizar,Investimento Total na ED
"Casca Wines - Producao e Comercializacao de Vinhos, S.A.",Revitalizar Sul,"1,000,000.00"
"Glamorama - Comercio de Artigos de Moda, S.A.",Revitalizar Sul,"1,000,000.00"
Caminhos de Santiago - Imobiliaria S.A.,Revitalizar Sul,"1,500,000.00"
"Lowfatpizza LFPZ, S.A.",Revitalizar Sul,"1,000,000.00"
"MCO, S.A.",Revitalizar Sul,"1,500,000.00"
"Montinho de Monchique, S.A.",Revitalizar Sul,"1,500,000.00"
"Summer Constellation, Lda.",Revitalizar Centro,"1,500,000.00"
"Sunnyplace VII, SA",Revitalizar Norte,"1,500,000.00"
"BBG, S.A.",Revitalizar Norte,"1,500,000.00"
"Circunland, S.A.",Revitalizar Norte,"1,500,000.00"
"Enforcesco, SA",Revitalizar Centro,"1,500,000.00"
"Flow Way, S.A.",Revitalizar Sul,"1,500,000.00"
"Greenfiber Tech, S.A.",Revitalizar Norte,"1,500,000.00"
Hipoteses e Surpresas - Lda.,Revitalizar Sul,"550,000.00"
"Impacting, S.A.",Revitalizar Norte,"1,500,000.00"
"Mesacer Ceramics, Lda.",Revitalizar Centro,"1,500,000.00"
"Metalo Iberica, S.A.",Revitalizar Centro,"1,500,000.00"
"MLC Modern Lining Company, S.A.",Revitalizar Norte,"1,500,000.00"
"Modiko - Estruturas para Construcao, Lda.",Revitalizar Centro,"1,500,000.00"
"Splendid Oportunity, S.A.",Revitalizar Sul,"1,400,000.00"
"SummerC, S.A.",Revitalizar Norte,"1,500,000.00"
